Wall time,Step,Value
1732691428.9457204,0,45.0
1732691428.976288,1,16.0
1732691429.01579,2,17.0
1732691429.0435798,3,16.0
1732691429.0716832,4,12.0
1732691429.0879064,5,9.0
1732691429.1204503,6,10.0
1732691430.405295,7,16.0
1732691430.9981427,8,9.0
1732691431.5145867,9,10.0
1732691432.3812225,10,16.0
1732691433.2488518,11,15.0
1732691434.0020146,12,10.0
1732691434.7690654,13,13.0
1732691435.301366,14,11.0
1732691436.0333622,15,11.0
1732691437.0021822,16,12.0
1732691437.6414587,17,10.0
1732691438.2148745,18,10.0
1732691438.6985605,19,10.0
1732691439.1913748,20,11.0
1732691439.8231695,21,10.0
1732691440.6720524,22,10.0
1732691441.5842204,23,16.0
1732691442.121131,24,11.0
1732691442.6237714,25,10.0
1732691443.4847436,26,14.0
1732691444.2452886,27,11.0
1732691444.7726324,28,9.0
1732691445.4227054,29,11.0
1732691446.1287596,30,12.0
1732691447.1120071,31,12.0
1732691447.8691356,32,11.0
1732691448.6095157,33,14.0
1732691449.2367723,34,12.0
1732691450.042231,35,13.0
1732691451.04451,36,12.0
1732691451.8826482,37,13.0
1732691452.6866302,38,14.0
1732691453.8654141,39,15.0
1732691455.1684973,40,15.0
1732691455.7301586,41,11.0
1732691456.6308374,42,17.0
1732691457.9504273,43,19.0
1732691459.1268957,44,19.0
1732691460.6101642,45,25.0
1732691462.2678595,46,22.0
1732691463.5731733,47,22.0
1732691465.1794703,48,21.0
1732691466.7173264,49,20.0
1732691467.7876108,50,18.0
1732691469.1763177,51,23.0
1732691470.667187,52,25.0
1732691472.5130527,53,24.0
1732691473.9954007,54,23.0
1732691475.6071103,55,23.0
1732691477.0521374,56,23.0
1732691479.8183215,57,27.0
1732691481.416664,58,24.0
1732691483.262983,59,25.0
1732691484.7368362,60,21.0
1732691486.5157702,61,22.0
1732691487.9703794,62,23.0
1732691489.7761745,63,25.0
1732691491.1707103,64,26.0
1732691492.8260956,65,24.0
1732691494.192623,66,24.0
1732691495.9464364,67,26.0
1732691497.549381,68,25.0
1732691499.6065702,69,24.0
1732691500.7660532,70,21.0
1732691502.2134054,71,23.0
1732691504.2119553,72,29.0
1732691506.0384185,73,30.0
1732691507.779072,74,30.0
1732691510.4042866,75,37.0
1732691512.070296,76,29.0
1732691514.5394368,77,40.0
1732691517.0807412,78,41.0
1732691520.6918647,79,46.0
1732691522.7574277,80,31.0
1732691526.0728467,81,44.0
1732691531.4922488,82,78.0
1732691537.792578,83,94.0
1732691543.9141316,84,100.0
1732691549.7903166,85,105.0
1732691555.7623608,86,100.0
1732691560.7794552,87,97.0
1732691567.5679376,88,128.0
1732691572.6712945,89,96.0
1732691578.5569413,90,117.0
1732691588.9728494,91,212.0
1732691600.6543195,92,226.0
1732691607.2289214,93,106.0
1732691611.8418262,94,77.0
1732691618.3560717,95,101.0
1732691626.679458,96,110.0
1732691633.4776402,97,83.0
1732691639.623165,98,76.0
1732691645.430792,99,76.0
1732691651.0979848,100,92.0
1732691657.0324347,101,77.0
1732691661.2658226,102,69.0
1732691665.472554,103,75.0
1732691669.600945,104,73.0
1732691673.9339957,105,81.0
1732691678.1339674,106,79.0
1732691682.4162955,107,75.0
1732691686.4353898,108,80.0
1732691690.7302604,109,86.0
1732691695.1670427,110,79.0
1732691699.7177098,111,78.0
1732691707.1795952,112,143.0
1732691714.2284758,113,131.0
1732691719.9221146,114,104.0
1732691727.5600705,115,144.0
1732691738.3255634,116,200.0
1732691745.0705023,117,122.0
1732691755.2129524,118,178.0
1732691764.8519695,119,177.0
1732691772.7713852,120,156.0
1732691777.9940693,121,97.0
1732691781.7169464,122,72.0
1732691784.9826598,123,63.0
1732691788.6955826,124,70.0
1732691792.0710278,125,64.0
1732691795.4773755,126,63.0
1732691799.946286,127,80.0
1732691804.0546613,128,64.0
1732691808.156323,129,73.0
1732691812.5030346,130,81.0
1732691816.05245,131,68.0
1732691820.3563607,132,77.0
1732691824.5602808,133,74.0
1732691828.2227445,134,66.0
1732691832.2005064,135,70.0
1732691836.2306156,136,76.0
1732691840.7566652,137,77.0
1732691844.412006,138,69.0
1732691849.236635,139,83.0
1732691854.6997516,140,78.0
1732691859.137198,141,72.0
1732691863.2279408,142,71.0
1732691867.7862267,143,78.0
1732691871.7010932,144,74.0
1732691875.5181158,145,68.0
1732691880.2067726,146,80.0
1732691885.5978422,147,85.0
1732691892.2275786,148,74.0
1732691897.7809482,149,79.0
1732691902.5523229,150,84.0
1732691909.806918,151,125.0
1732691914.9302697,152,98.0
1732691920.226542,153,83.0
1732691924.985145,154,82.0
1732691931.112025,155,110.0
1732691936.0915444,156,93.0
1732691940.673323,157,87.0
1732691945.240159,158,77.0
1732691951.3183417,159,108.0
1732691956.9749482,160,97.0
1732691961.7997043,161,82.0
1732691970.4681416,162,167.0
1732691975.7888598,163,104.0
1732691980.3590257,164,93.0
1732691987.948302,165,141.0
1732691993.497437,166,105.0
1732692000.5838525,167,105.0
1732692008.0206773,168,131.0
1732692014.7719572,169,104.0
1732692021.4972262,170,111.0
1732692027.9911256,171,110.0
1732692037.0330932,172,148.0
1732692042.671891,173,96.0
1732692049.0782852,174,110.0
1732692057.0723212,175,127.0
1732692068.8359234,176,197.0
1732692074.88267,177,98.0
1732692082.4302704,178,131.0
1732692089.579438,179,127.0
1732692110.7110848,180,359.0
1732692118.2337353,181,126.0
1732692126.8191605,182,151.0
1732692133.2384565,183,121.0
1732692139.360649,184,111.0
1732692145.5562532,185,112.0
1732692150.999141,186,102.0
1732692157.180653,187,115.0
1732692162.6592526,188,102.0
1732692170.3609626,189,133.0
1732692177.5738053,190,115.0
1732692185.3006542,191,112.0
1732692194.9259405,192,151.0
1732692203.3711467,193,151.0
1732692213.140764,194,162.0
1732692224.1931267,195,187.0
1732692235.2082496,196,201.0
1732692244.26388,197,167.0
1732692251.0497549,198,136.0
1732692260.9398074,199,188.0
1732692267.4153118,200,117.0
1732692273.4393249,201,107.0
1732692280.774035,202,144.0
1732692291.990798,203,218.0
1732692299.7045116,204,156.0
1732692308.3055356,205,166.0
1732692318.442265,206,176.0
1732692328.674114,207,167.0
1732692338.1342237,208,157.0
1732692347.4832988,209,159.0
1732692361.7211556,210,237.0
1732692370.2099254,211,141.0
1732692378.5067065,212,153.0
1732692379.4180279,213,15.0
1732692380.3247883,214,14.0
1732692381.0903583,215,15.0
1732692386.1681588,216,84.0
1732692395.165777,217,159.0
1732692396.5143237,218,14.0
1732692402.3515837,219,89.0
1732692413.4989865,220,173.0
1732692418.5739622,221,82.0
1732692428.3537986,222,168.0
1732692439.4911902,223,190.0
1732692450.4066863,224,193.0
1732692460.5591044,225,172.0
1732692471.6884146,226,199.0
1732692482.8144321,227,177.0
1732692492.881658,228,174.0
1732692501.1042411,229,127.0
1732692509.2107992,230,141.0
1732692517.9998868,231,171.0
1732692525.5688653,232,146.0
1732692538.443198,233,196.0
1732692551.4250417,234,192.0
1732692560.0609536,235,154.0
1732692566.1859186,236,114.0
1732692573.5404992,237,118.0
1732692581.5433865,238,145.0
1732692582.29449,239,14.0
1732692588.1560416,240,98.0
1732692596.304518,241,156.0
1732692598.596201,242,32.0
1732692608.8041644,243,165.0
1732692610.0646327,244,23.0
1732692617.2407963,245,116.0
1732692622.0199895,246,75.0
1732692623.0563614,247,15.0
1732692630.7277794,248,136.0
1732692637.7367816,249,114.0
1732692645.7209687,250,145.0
1732692653.3937433,251,133.0
1732692663.5319543,252,179.0
1732692670.240785,253,121.0
1732692676.9976716,254,121.0
1732692682.6674106,255,108.0
1732692690.581966,256,146.0
1732692697.2910593,257,115.0
1732692705.271873,258,133.0
1732692715.8937914,259,165.0
1732692726.2973344,260,186.0
1732692733.4562094,261,126.0
1732692737.5537553,262,71.0
1732692742.2956011,263,80.0
1732692750.0211616,264,136.0
1732692758.5061026,265,139.0
1732692763.716612,266,89.0
1732692767.3285413,267,67.0
1732692776.9803777,268,159.0
1732692785.6825533,269,146.0
1732692797.3036444,270,202.0
1732692807.4427059,271,154.0
1732692815.9545507,272,142.0
1732692824.1455085,273,139.0
1732692833.4687572,274,151.0
1732692842.338132,275,155.0
1732692851.2341506,276,144.0
1732692859.6761487,277,138.0
1732692868.966085,278,153.0
1732692878.3170636,279,157.0
1732692892.8238378,280,264.0
1732692903.2450747,281,189.0
1732692911.9324627,282,164.0
1732692921.8924515,283,169.0
1732692929.7184489,284,151.0
1732692938.0741923,285,149.0
1732692946.876753,286,150.0
1732692956.1512394,287,159.0
1732692963.0097954,288,113.0
1732692971.3557155,289,139.0
1732692980.7421148,290,149.0
1732692989.3573468,291,152.0
1732692997.4002776,292,152.0
1732693005.6274116,293,149.0
1732693012.1195157,294,118.0
1732693022.1778276,295,159.0
1732693031.5518577,296,170.0
1732693040.4898422,297,159.0
1732693048.8724847,298,154.0
1732693058.7833948,299,179.0
1732693067.2662966,300,149.0
1732693075.7431095,301,155.0
1732693083.7240727,302,142.0
1732693092.2948608,303,162.0
1732693099.706006,304,126.0
1732693109.9386775,305,155.0
1732693119.2907913,306,155.0
1732693131.9723868,307,207.0
1732693142.6961234,308,161.0
1732693154.9755046,309,182.0
1732693168.0063457,310,179.0
1732693179.0927937,311,163.0
1732693191.0550132,312,192.0
1732693202.9492278,313,166.0
1732693213.5381973,314,149.0
1732693221.6379645,315,151.0
1732693229.6827981,316,152.0
1732693238.4922469,317,170.0
1732693245.829791,318,143.0
1732693253.6790247,319,153.0
1732693259.986118,320,116.0
1732693271.238265,321,197.0
1732693279.3090577,322,155.0
1732693288.4450817,323,166.0
1732693297.4448822,324,157.0
1732693307.366459,325,167.0
1732693316.6675112,326,166.0
1732693326.4563503,327,174.0
1732693338.4844759,328,177.0
1732693351.1970172,329,213.0
1732693361.7585666,330,181.0
1732693371.6380806,331,177.0
1732693377.9628916,332,102.0
1732693386.8376517,333,159.0
1732693396.8350167,334,162.0
1732693406.6163094,335,174.0
1732693415.9366374,336,159.0
1732693425.6810806,337,168.0
1732693431.5712879,338,103.0
1732693441.3440475,339,162.0
1732693450.7011652,340,169.0
1732693461.0841775,341,179.0
1732693469.7304883,342,149.0
1732693477.9977286,343,148.0
1732693489.5600836,344,206.0
1732693499.6434355,345,167.0
1732693511.3411736,346,199.0
1732693522.8379102,347,202.0
1732693532.32624,348,155.0
1732693544.095559,349,184.0
1732693559.4215083,350,193.0
1732693572.5548089,351,196.0
1732693586.933591,352,238.0
1732693600.2721488,353,233.0
1732693612.2877765,354,211.0
1732693625.2795136,355,207.0
1732693639.9041538,356,244.0
1732693651.0733929,357,197.0
1732693679.6128304,358,497.0
1732693691.7240944,359,207.0
1732693703.399383,360,192.0
1732693717.9634314,361,238.0
1732693729.9216385,362,200.0
1732693742.6785321,363,219.0
1732693761.3110585,364,344.0
1732693772.3984823,365,190.0
1732693782.3701587,366,169.0
1732693791.5221143,367,167.0
1732693801.3361633,368,186.0
1732693815.3834162,369,204.0
1732693825.5266275,370,168.0
1732693833.6003458,371,147.0
1732693841.6343586,372,142.0
1732693851.2741892,373,153.0
1732693859.5943375,374,144.0
1732693868.5711448,375,153.0
1732693876.6127534,376,143.0
1732693882.8149295,377,107.0
1732693891.5702808,378,139.0
1732693899.7468724,379,145.0
1732693907.345104,380,138.0
1732693914.9074965,381,132.0
1732693920.0360832,382,81.0
1732693928.0037284,383,133.0
1732693935.4730146,384,126.0
1732693942.8315651,385,127.0
1732693951.4534125,386,123.0
1732693959.916494,387,122.0
1732693964.361221,388,79.0
1732693970.6364892,389,104.0
1732693978.5525627,390,123.0
1732693986.1695912,391,130.0
1732693995.1912117,392,135.0
1732694003.4182029,393,136.0
1732694011.8804827,394,138.0
1732694020.168259,395,133.0
1732694028.7759528,396,146.0
1732694036.1866395,397,133.0
1732694043.964942,398,139.0
1732694053.3214457,399,146.0
1732694061.392216,400,143.0
1732694071.055038,401,132.0
1732694076.9450803,402,96.0
1732694084.0425818,403,126.0
1732694093.3340647,404,132.0
1732694102.9745512,405,133.0
1732694111.8446686,406,135.0
1732694119.2242596,407,116.0
1732694128.6343906,408,136.0
1732694137.3892705,409,140.0
1732694146.0191858,410,129.0
1732694153.0524008,411,127.0
1732694161.366408,412,132.0
1732694170.9075837,413,158.0
1732694179.6473067,414,146.0
1732694187.7760599,415,128.0
1732694196.5906198,416,138.0
1732694204.625023,417,145.0
1732694212.1204767,418,135.0
1732694223.5366485,419,146.0
1732694233.3626864,420,153.0
1732694244.5591197,421,146.0
1732694256.1429956,422,147.0
1732694267.1041894,423,154.0
1732694276.4532957,424,146.0
1732694285.6039581,425,148.0
1732694295.5884247,426,150.0
1732694305.1097705,427,136.0
1732694319.761107,428,264.0
1732694351.7046356,429,563.0
1732694359.8138287,430,131.0
1732694368.4991066,431,151.0
1732694376.2656035,432,137.0
1732694384.671379,433,137.0
1732694394.7949827,434,152.0
1732694403.0919008,435,130.0
1732694412.9846208,436,157.0
1732694421.0272734,437,135.0
1732694429.556395,438,156.0
1732694441.869736,439,207.0
1732694449.6254427,440,134.0
1732694458.3159108,441,150.0
1732694466.9866714,442,145.0
1732694475.9844131,443,144.0
1732694484.5721366,444,139.0
1732694492.513248,445,139.0
1732694501.398835,446,155.0
1732694509.8019812,447,150.0
1732694518.1891587,448,144.0
1732694525.4225626,449,129.0
1732694533.6314926,450,131.0
1732694545.0517254,451,157.0
1732694554.6149328,452,155.0
1732694563.6093173,453,150.0
1732694571.2762268,454,139.0
1732694579.3336349,455,148.0
1732694586.5677066,456,132.0
1732694594.7846901,457,141.0
1732694602.6854794,458,134.0
1732694611.320453,459,143.0
1732694619.5546958,460,135.0
1732694629.5573916,461,180.0
1732694641.2822595,462,205.0
1732694653.5494094,463,183.0
1732694661.6356318,464,143.0
1732694671.4415495,465,175.0
1732694680.8174558,466,160.0
1732694691.3475342,467,184.0
1732694700.5995467,468,156.0
1732694710.5563424,469,148.0
1732694719.7901103,470,152.0
1732694733.368857,471,234.0
1732694756.7051754,472,376.0
1732694764.4291918,473,151.0
1732694784.1125705,474,369.0
1732694799.0536103,475,266.0
1732694811.120524,476,215.0
1732694822.1273534,477,195.0
1732694839.1607125,478,329.0
1732694862.7760482,479,324.0
1732694882.4261851,480,226.0
1732694892.196744,481,170.0
1732694902.9166777,482,167.0
1732694917.1188116,483,235.0
1732694928.1364157,484,194.0
1732694938.354084,485,196.0
1732694946.0381715,486,148.0
1732694959.0916,487,245.0
1732694982.9307709,488,431.0
1732694991.1325612,489,156.0
1732695001.7727838,490,204.0
1732695018.054666,491,320.0
1732695030.590658,492,241.0
1732695042.9085958,493,233.0
1732695055.4540708,494,239.0
1732695069.73555,495,208.0
1732695074.7775705,496,94.0
1732695085.6984394,497,201.0
1732695092.9879465,498,132.0
1732695102.1293056,499,161.0
