Wall time,Step,Value
1732691070.4697006,0,45.0
1732691070.4697006,1,16.0
1732691070.4787138,2,17.0
1732691070.4857287,3,16.0
1732691070.4857287,4,12.0
1732691070.495661,5,9.0
1732691070.5032375,6,10.0
1732691070.6275594,7,16.0
1732691070.6789482,8,9.0
1732691070.721728,9,10.0
1732691070.7715209,10,12.0
1732691070.8000612,11,9.0
1732691070.8469522,12,11.0
1732691070.894224,13,11.0
1732691070.9258375,14,9.0
1732691070.9727132,15,11.0
1732691071.0043716,16,10.0
1732691071.0653794,17,14.0
1732691071.1097004,18,10.0
1732691071.160338,19,12.0
1732691071.2012632,20,10.0
1732691071.236715,21,12.0
1732691071.2833967,22,10.0
1732691071.3146584,23,10.0
1732691071.3615336,24,11.0
1732691071.4239297,25,12.0
1732691071.4714131,26,10.0
1732691071.5477152,27,13.0
1732691071.6004093,28,10.0
1732691071.6406474,29,9.0
1732691071.6813674,30,10.0
1732691071.7209835,31,14.0
1732691071.7678766,32,10.0
1732691071.8099637,33,11.0
1732691071.85722,34,11.0
1732691071.9143763,35,12.0
1732691071.9669557,36,11.0
1732691072.0068457,37,10.0
1732691072.0521226,38,10.0
1732691072.1079516,39,11.0
1732691072.1464136,40,10.0
1732691072.1796722,41,10.0
1732691072.2093217,42,11.0
1732691072.256204,43,11.0
1732691072.3246465,44,12.0
1732691072.3715236,45,11.0
1732691072.4260187,46,11.0
1732691072.4802535,47,10.0
1732691072.539192,48,10.0
1732691072.6093137,49,10.0
1732691072.6613505,50,10.0
1732691072.7066677,51,11.0
1732691072.817254,52,12.0
1732691072.8872879,53,11.0
1732691073.0740047,54,12.0
1732691073.2809596,55,12.0
1732691073.3863254,56,12.0
1732691073.4709156,57,14.0
1732691073.561168,58,12.0
1732691073.7324395,59,12.0
1732691073.9333239,60,17.0
1732691074.037627,61,11.0
1732691074.143596,62,16.0
1732691074.2458942,63,16.0
1732691074.338977,64,18.0
1732691074.4164464,65,16.0
1732691074.5137985,66,19.0
1732691074.6301053,67,19.0
1732691074.7454615,68,20.0
1732691074.8640492,69,19.0
1732691074.9709723,70,20.0
1732691075.0727577,71,18.0
1732691075.1838815,72,19.0
1732691075.3654883,73,25.0
1732691075.4936247,74,20.0
1732691075.6248436,75,24.0
1732691075.7555819,76,23.0
1732691075.8897002,77,24.0
1732691076.0270836,78,21.0
1732691076.1652708,79,25.0
1732691076.3028255,80,24.0
1732691076.4657364,81,24.0
1732691076.6909523,82,25.0
1732691076.9228091,83,25.0
1732691077.2526987,84,30.0
1732691077.448113,85,32.0
1732691077.6901147,86,30.0
1732691077.8797126,87,31.0
1732691078.0675747,88,33.0
1732691078.2219338,89,30.0
1732691078.3794804,90,29.0
1732691078.5414555,91,32.0
1732691078.738934,92,42.0
1732691078.9471428,93,43.0
1732691079.1308658,94,42.0
1732691079.3318014,95,45.0
1732691079.5536878,96,48.0
1732691079.8128643,97,53.0
1732691080.0562098,98,51.0
1732691080.3478713,99,52.0
1732691080.7913666,100,55.0
1732691081.2586637,101,71.0
1732691081.7337284,102,91.0
1732691082.2400355,103,114.0
1732691082.5932074,104,107.0
1732691082.97947,105,121.0
1732691083.710651,106,219.0
1732691084.6414104,107,210.0
1732691085.3414795,108,168.0
1732691086.1293242,109,209.0
1732691086.7037396,110,171.0
1732691087.0175579,111,94.0
1732691087.5918207,112,153.0
1732691088.3404164,113,155.0
1732691088.915274,114,147.0
1732691089.562709,115,182.0
1732691090.162719,116,154.0
1732691091.2023787,117,165.0
1732691092.1493235,118,147.0
1732691093.0229855,119,129.0
1732691093.6552515,120,131.0
1732691094.3040807,121,122.0
1732691095.8223505,122,129.0
1732691096.636244,123,112.0
1732691097.4897163,124,139.0
1732691098.243743,125,122.0
1732691099.1132877,126,117.0
1732691099.895334,127,107.0
1732691100.4937124,128,112.0
1732691101.037984,129,104.0
1732691101.5426433,130,119.0
1732691102.18031,131,110.0
1732691103.3388002,132,137.0
1732691104.1005337,133,128.0
1732691104.6451452,134,127.0
1732691105.2671928,135,134.0
1732691105.9754398,136,134.0
1732691107.4010305,137,138.0
1732691108.0473647,138,136.0
1732691108.5323913,139,125.0
1732691108.949024,140,121.0
1732691109.5006013,141,144.0
1732691110.181493,142,142.0
1732691111.004872,143,138.0
1732691111.5159998,144,98.0
1732691112.052715,145,140.0
1732691112.5937924,146,150.0
1732691113.0346508,147,109.0
1732691113.628093,148,132.0
1732691114.4508653,149,143.0
1732691114.9906652,150,127.0
1732691115.421519,151,139.0
1732691115.8476374,152,131.0
1732691116.386926,153,157.0
1732691116.795343,154,129.0
1732691117.2694702,155,127.0
1732691117.8101294,156,139.0
1732691118.400422,157,169.0
1732691118.8131518,158,133.0
1732691119.2770188,159,135.0
1732691119.716261,160,137.0
1732691120.1299741,161,126.0
1732691120.8062713,162,180.0
1732691121.28903,163,129.0
1732691121.7379127,164,137.0
1732691122.2078924,165,137.0
1732691122.6272845,166,128.0
1732691123.034279,167,139.0
1732691123.356063,168,94.0
1732691123.9071593,169,140.0
1732691124.27015,170,97.0
1732691124.6619515,171,121.0
1732691125.0709429,172,131.0
1732691125.455921,173,126.0
1732691125.8727105,174,137.0
1732691126.2362754,175,130.0
1732691126.7330625,176,134.0
1732691127.2148726,177,133.0
1732691127.8725815,178,134.0
1732691128.3779128,179,129.0
1732691128.7765012,180,111.0
1732691129.2013493,181,128.0
1732691129.584291,182,128.0
1732691130.081283,183,132.0
1732691130.5876167,184,129.0
1732691131.0205607,185,131.0
1732691131.4785051,186,127.0
1732691131.9159675,187,129.0
1732691132.323485,188,129.0
1732691132.6868608,189,125.0
1732691133.0791826,190,100.0
1732691133.5188065,191,127.0
1732691133.942748,192,127.0
1732691134.418823,193,129.0
1732691134.8818543,194,132.0
1732691135.2878313,195,131.0
1732691135.756622,196,133.0
1732691136.2443743,197,128.0
1732691136.7503428,198,126.0
1732691137.2097821,199,126.0
1732691137.7195177,200,125.0
1732691138.1671045,201,123.0
1732691138.6135018,202,128.0
1732691139.0674431,203,129.0
1732691139.6071167,204,134.0
1732691140.1508305,205,130.0
1732691140.6188307,206,127.0
1732691141.0853267,207,134.0
1732691141.5277667,208,131.0
1732691141.9716597,209,128.0
1732691142.459061,210,129.0
1732691143.0081193,211,136.0
1732691143.6214902,212,154.0
1732691144.2806525,213,170.0
1732691144.8148682,214,160.0
1732691145.3490155,215,159.0
1732691146.4744983,216,199.0
1732691147.384644,217,188.0
1732691147.9561625,218,155.0
1732691148.4391928,219,158.0
1732691149.2775877,220,170.0
1732691150.0577054,221,126.0
1732691150.694598,222,148.0
1732691151.3215444,223,131.0
1732691151.892541,224,177.0
1732691152.333837,225,114.0
1732691152.7795317,226,116.0
1732691153.19446,227,104.0
1732691153.6438208,228,106.0
1732691154.0698397,229,107.0
1732691154.4232929,230,100.0
1732691154.9432778,231,176.0
1732691155.396798,232,96.0
1732691155.8273408,233,100.0
1732691156.3027697,234,102.0
1732691156.7474525,235,99.0
1732691157.225062,236,100.0
1732691157.6504653,237,100.0
1732691157.9777772,238,96.0
1732691158.3062532,239,102.0
1732691158.6456156,240,104.0
1732691158.9939892,241,100.0
1732691159.3647478,242,100.0
1732691159.7109668,243,92.0
1732691160.0652654,244,95.0
1732691160.4488256,245,94.0
1732691160.8478482,246,85.0
1732691161.227794,247,94.0
1732691161.5075078,248,93.0
1732691161.837375,249,96.0
1732691162.258697,250,97.0
1732691162.6396787,251,91.0
1732691163.0018635,252,90.0
1732691163.3273494,253,88.0
1732691163.6350746,254,88.0
1732691163.9482899,255,91.0
1732691164.2627556,256,106.0
1732691164.5818005,257,107.0
1732691164.8780031,258,100.0
1732691165.239831,259,101.0
1732691165.6020117,260,103.0
1732691165.976193,261,100.0
1732691166.3557098,262,102.0
1732691166.7034953,263,102.0
1732691167.0657265,264,102.0
1732691167.3793635,265,101.0
1732691167.6774693,266,105.0
1732691167.9755764,267,100.0
1732691168.369162,268,105.0
1732691168.594979,269,69.0
1732691169.03481,270,100.0
1732691169.4592426,271,100.0
1732691169.8088136,272,99.0
1732691170.109374,273,99.0
1732691170.4099796,274,101.0
1732691170.683873,275,98.0
1732691170.9664464,276,99.0
1732691171.2496145,277,100.0
1732691171.5786967,278,98.0
1732691171.9240804,279,98.0
1732691172.3608,280,98.0
1732691172.7458162,281,98.0
1732691173.1181276,282,100.0
1732691173.5001802,283,99.0
1732691173.856023,284,102.0
1732691174.1710467,285,101.0
1732691174.6012664,286,100.0
1732691174.953839,287,100.0
1732691175.385754,288,100.0
1732691175.8760865,289,100.0
1732691176.3432581,290,101.0
1732691176.7099626,291,102.0
1732691177.0546741,292,100.0
1732691177.3946898,293,102.0
1732691177.7823846,294,103.0
1732691178.1428754,295,103.0
1732691178.5822332,296,102.0
1732691179.0312395,297,102.0
1732691179.4067512,298,82.0
1732691179.82115,299,103.0
1732691180.161439,300,102.0
1732691180.4768884,301,97.0
1732691180.8370275,302,101.0
1732691181.181836,303,100.0
1732691181.512383,304,97.0
1732691181.8730803,305,101.0
1732691182.2492452,306,101.0
1732691182.6571798,307,100.0
1732691182.9709253,308,98.0
1732691183.2694848,309,99.0
1732691183.568358,310,102.0
1732691183.9033146,311,101.0
1732691183.9918623,312,18.0
1732691184.337505,313,95.0
1732691184.667742,314,101.0
1732691185.0443735,315,100.0
1732691185.4366808,316,101.0
1732691185.795082,317,101.0
1732691186.1396003,318,101.0
1732691186.438201,319,100.0
1732691186.7167947,320,100.0
1732691187.059167,321,100.0
1732691187.4071915,322,102.0
1732691187.732275,323,101.0
1732691188.0917962,324,101.0
1732691188.5116515,325,102.0
1732691188.8723323,326,101.0
1732691189.2341554,327,100.0
1732691189.534831,328,101.0
1732691189.811906,329,100.0
1732691189.8835182,330,20.0
1732691190.242652,331,100.0
1732691190.5955794,332,99.0
1732691190.9221666,333,97.0
1732691191.3001385,334,99.0
1732691191.3735917,335,15.0
1732691191.754392,336,95.0
1732691192.1144962,337,99.0
1732691192.4379423,338,100.0
1732691192.7553022,339,99.0
1732691193.0819669,340,99.0
1732691193.4385414,341,100.0
1732691193.7683797,342,96.0
1732691194.086949,343,99.0
1732691194.428449,344,100.0
1732691194.840459,345,103.0
1732691195.198986,346,99.0
1732691195.5575314,347,100.0
1732691195.8644502,348,100.0
1732691196.1678548,349,100.0
1732691196.5234783,350,100.0
1732691196.8637688,351,100.0
1732691197.2053638,352,101.0
1732691197.6007457,353,101.0
1732691198.059301,354,101.0
1732691198.4380813,355,101.0
1732691198.762186,356,101.0
1732691199.0529797,357,101.0
1732691199.374785,358,101.0
1732691199.4381366,359,15.0
1732691199.748241,360,92.0
1732691200.0589333,361,100.0
1732691200.3742433,362,100.0
1732691200.7061348,363,101.0
1732691201.0837362,364,101.0
1732691201.436205,365,101.0
1732691201.7970006,366,102.0
1732691202.0981834,367,102.0
1732691202.4516735,368,101.0
1732691202.7751222,369,101.0
1732691203.120472,370,101.0
1732691203.4283397,371,101.0
1732691203.6308167,372,65.0
1732691204.0036697,373,102.0
1732691204.365477,374,101.0
1732691204.7340004,375,102.0
1732691205.0533302,376,101.0
1732691205.3538933,377,102.0
1732691205.7006977,378,102.0
1732691206.0262377,379,101.0
1732691206.3553076,380,102.0
1732691206.6756246,381,105.0
1732691206.887937,382,62.0
1732691207.2780082,383,101.0
1732691207.6270156,384,103.0
1732691207.9893074,385,101.0
1732691208.2719274,386,101.0
1732691208.6329553,387,101.0
1732691208.9590971,388,103.0
1732691209.2739308,389,102.0
1732691209.573893,390,102.0
1732691209.85981,391,102.0
1732691210.2456558,392,104.0
1732691210.7397969,393,102.0
1732691211.1575146,394,103.0
1732691211.5170095,395,102.0
1732691211.8432307,396,104.0
1732691212.182192,397,103.0
1732691212.4764698,398,103.0
1732691212.7790658,399,103.0
1732691213.0712724,400,103.0
1732691213.4161315,401,101.0
1732691213.8355649,402,102.0
1732691214.232278,403,102.0
1732691214.7085142,404,102.0
1732691215.051729,405,102.0
1732691215.3893328,406,104.0
1732691215.712988,407,101.0
1732691216.0007527,408,101.0
1732691216.326411,409,101.0
1732691216.3728116,410,12.0
1732691216.8031104,411,100.0
1732691217.1731532,412,102.0
1732691217.5586421,413,102.0
1732691217.9205213,414,100.0
1732691218.2690005,415,101.0
1732691218.6141207,416,102.0
1732691218.9283307,417,101.0
1732691219.2133858,418,101.0
1732691219.5006948,419,101.0
1732691219.8611648,420,101.0
1732691220.2437665,421,102.0
1732691220.6159964,422,100.0
1732691221.045891,423,102.0
1732691221.3782113,424,102.0
1732691221.6909003,425,102.0
1732691222.006795,426,102.0
1732691222.3085551,427,105.0
1732691222.6016476,428,102.0
1732691222.9736376,429,104.0
1732691223.3596787,430,102.0
1732691223.748175,431,102.0
1732691224.111978,432,102.0
1732691224.4485545,433,102.0
1732691224.7750213,434,102.0
1732691224.8298614,435,18.0
1732691225.1330447,436,103.0
1732691225.4104786,437,102.0
1732691225.7116332,438,104.0
1732691226.0458088,439,103.0
1732691226.4456322,440,102.0
1732691226.8299983,441,104.0
1732691227.2289956,442,104.0
1732691227.564283,443,105.0
1732691227.8891976,444,104.0
1732691228.1798556,445,105.0
1732691228.4816487,446,106.0
1732691228.7792284,447,107.0
1732691229.1192074,448,107.0
1732691229.5169501,449,105.0
1732691229.9029143,450,107.0
1732691230.2975132,451,104.0
1732691230.6566916,452,105.0
1732691230.9816244,453,106.0
1732691231.2819612,454,106.0
1732691231.582327,455,109.0
1732691231.623509,456,11.0
1732691231.9351087,457,107.0
1732691232.2863202,458,108.0
1732691232.6839378,459,108.0
1732691233.1077044,460,106.0
1732691233.5445657,461,111.0
1732691233.9430077,462,104.0
1732691234.2857208,463,107.0
1732691234.6121306,464,107.0
1732691234.9337065,465,109.0
1732691235.2574043,466,108.0
1732691235.6368911,467,107.0
1732691236.0756834,468,108.0
1732691236.5051818,469,108.0
1732691236.9684458,470,107.0
1732691237.3364863,471,108.0
1732691237.6695218,472,107.0
1732691237.9900937,473,108.0
1732691238.2887518,474,110.0
1732691238.638772,475,108.0
1732691239.0175903,476,97.0
1732691239.414493,477,107.0
1732691239.84344,478,109.0
1732691240.1934495,479,110.0
1732691240.5081873,480,104.0
1732691240.831474,481,110.0
1732691241.1847324,482,108.0
1732691241.5514212,483,108.0
1732691241.8019588,484,73.0
1732691242.1952055,485,110.0
1732691242.6423128,486,111.0
1732691243.0462832,487,109.0
1732691243.4137082,488,109.0
1732691243.7599666,489,110.0
1732691244.0908992,490,111.0
1732691244.4005494,491,112.0
1732691244.8124256,492,111.0
1732691245.276367,493,112.0
1732691245.797481,494,111.0
1732691246.330568,495,113.0
1732691246.7124114,496,110.0
1732691247.0476358,497,115.0
1732691247.3585527,498,112.0
1732691247.694325,499,114.0
